kod	nazev
66134	Mramor, travertin, alabastr, vyrobky, sekane, rezane
66135	Pomnikovy, stavebni kamen, vyrobky, j.n., sekane ap.
66136	Mramor, travertin, alabastr, vyrobky, tvarovane ap.
66139	Ostatni pomnikovy, stavebni kamen, vyrobky, tvarovane
6618	Staveb. materiál z osinkocementu, vyztuženého cementu
66181	Vyrobky z cementu apod. materialu
66182	Panely, desky, aj. ze slamy ap. pojene cementem aj.
66183	Vyrobky z osinkocementu, cementu vyztuzeneho vlakny
662	Staviva z hlíny a staviva žáruvzdorná
6623	Cihly žáruvzdorné a ostatni staviva
66231	Cihly, tvarnice ap. z kremitych infuzoriovych hlin
66232	Zaruvzdorne cihly, tvarnice, dlazdice ap. staviva
66233	Zaruvzdorne cementy, malty, betony ap. hmoty, j.n.
6624	Žáruvzdorné keramické cihly, dlaždice, trubky apod.
66241	Keramicke stavebni cihly, podlazni bloky, dlazdice
66242	Stresni tasky, hlavy kominu, nastavce, ost. vyrobky
66243	Keramicke potrubi, zlaby, instalacni trubky, fitinky
66244	Nepolevane keramicke dlazebni kostky, dlazdice ap.
66245	Polevane keramicke dlazebni kostky, dlazdice apod.
663	Výrobky z nerostů jn.
6631	Mlýnské a brousící kameny, brusné kotouče apod.
66311	Mlynske, brousici kameny k mleti, brouseni aj.
66312	Ostatni mlynske, brousici kameny, brusne kotouce ap.
66313	Rucni ostrici, lestici kameny
6632	Brusivo na podložce textilní, papírové, lepenkové
66321	Brusivo na podlozce z tkaneho textilu
66322	Brusivo na podlozce z papiru, lepenky
66329	Brusivo na podlozce z jineho materialu
6633	Výrobky z nerostných materialů, j.n.(bez keramických)
66331	Predmety ze sadry, hmot na bazi sadry
66332	Stavebni tvarnice, cihly, dlazdice ap. vyrobky
66333	Stavebni dily prefabrikovane
66334	Ostatni vyrobky z cementu, betonu, umeleho kamene
66335	Slida zpracovana, vyrobky, pr. na podlozce z papiru
66336	Neelektricke vyrobky z grafitu a jineho uhliku
66337	Vyrobky z raseliny
66338	Vyrobky z jinych nerostnych latek
66339	Vyrobky z kamene, jinych nerostnych latek, j.n.
6635	Vlna strusková, skalní aj., štípaný vermikulit apod.
66351	Vlna struskova, skalni ap. nerostne vlny, lozene ap.
66352	Stipany vermikulit, lehcene hliny, penova struska ap.
66353	Smesi, vyrobky z tepelne, zvukove izolacnich aj. mat.
6637	Výrobky ze žáruvzdorné keramiky, a j.n.
6638	Výrobky z osinku; třecí materiály
66381	Zpracovana osinkova vlakna, smesi na bazi osinku ap.
66382	Treci material, vyrobky, nesmontovane, pro brzdy ap.
6639	Výrobky z keramických materiálů, j.n.
66391	Laboratorni, chemicke, prumyslove zbozi z keramiky
66399	Keramicke vyrobky, j.n.
664	Sklo
6641	Sklo v kuse, ve tvaru koulí, tyčí, trubek; střepy
66411	Sklo v kuse, drcene sklo, ostatni skleneny odpad
66412	Sklo ve tvaru kouli, tyci, trubek, nezpracovane
6643	Sklo tažené a foukané, jinak nezpracované
66431	Sklo, zbarvene ve hmote, opakni, podjimane ap.
66439	Ostatni sklo
6644	Sklo plavené, povrchové broušené, leštěné, v tabulích
66441	Sklo bez dratene vlozky
66442	Sklo s dratenou vlozkou
6645	Sklo lité, válcované, v tabulích, profilech
66451	Tabule bez dratene vlozky
66452	Tabule s dratenou vlozkou
66453	Profily
6647	Bezpečnostní sklo, tj. ztužené, laminované
66471	Ztuzene (temperovane) bezpecnostni sklo
66472	Laminovane bezpecnostni sklo
6648	Skleněná zrcadla, příp.rámovaná, včetně zpětných
66481	Zpetna zrcatka pro motorova vozidla
66489	Ostatni sklenena zrcadla, pr. ramovana
6649	Sklo, jinde nezařazené
66491	Sklo tazene, plavene, lite ap. ohybane aj. opracovane
66492	Izolacni jednotky z vicevrstveho skla
66493	Sklenene obaly, otevrene, casti, pro obrazovky, lampy
66494	Sklo kryci na hodiny, brylove, zakrivene, ohnute ap.
66495	Sklenena vlakna (vc. vlny), vyrobky z nich, j.n.
66496	Sklenene dlazebni kostky, desky, cihly, dlazdice aj.
665	Zboží skleněné
6651	Obalové sklo; skleněné zátky a uzávěry
6652	Skleněné zboží pro domácnost, kanceláře, k výzdobě
66521	Vyrobky ze skla, sklokeramiky
66522	Napojove sklo, ne sklokeramicke
66523	Sklenene zbozi ke stolovani (ne napojove), do kuchyne
66529	Ostatni sklenene zbozi
6659	Výrobky ze skla, jinde nezařazené
66591	Sklo laboratorni, zdravotnicke, lekarenske, ampulky
66592	Sklenene ampulky
66593	Sklenene koralky, napodobeniny perel, drahokamu apod.
66594	Sklenene kostky aj. drobne vyrobky, pr. s podkladem
66595	Signalni sklo, opticke prvky, opticky neopracovane
66599	Ostatni vyrobky ze skla
666	Zboží hrnčířské
6661	Keramika stolní a kuchyňská
66611	Stolni, kuchynske nadobi z porcelanu aj.
66612	Ost. vyrobky pro domacnost, toalet. ucely z porcelanu
66613	Keramicke stolni, kuchynske nadobi, ostatni predmety
6662	Sošky, ostatní ozdobné předměty z keramiky
66621	Sosky a ost. ozdobne predmety z porcelanu ci keramiky
66629	Ostatni sosky a ostatni ozdobne predmety z keramiky
667	Perly, drahokamy, polodrahokamy surové, opracované
6671	Perly, příp. opracované, tříděné, netříděné
66711	Prirodni perly
66712	Perly ziskane chovem
66713	Perly ziskane chovem, neopracovane
6672	Diamanty, příp. opracované, nezasazené, nesrovnané
66721	Diamanty v surovem stavu, netridene
66722	Diamanty, tridene, neopracovane, jednoduse rezane ap.
66729	Diamanty, jinak opracovane, ne zasazene, srovnane
6673	Drahokamy, polodrahokamy, opracované, tříděné aj.
66731	Drahokamy, polodrahok. neopracovane, jednoduse rezane
66739	Drahokamy, polodrahokamy, jinak opracovane
6674	Syntetické, uměle vytvořené drahokamy, polodrahokamy
66741	Piezoelektricke krystaly
66742	Synteticke, umele vytvorene drahokamy, polodrahokamy
66749	Syntet., umele vytvorene drahokamy, polodrahok. j.n.
67	Železo a ocel
671	Železo surové, houbovité, zrcadlovina, feroslitiny ap.
6712	Surové železo a zrcadlovina
67121	Nelegovane surove zelezo, do 0,5 % fosfor
67122	Nelegovane surove zelezo, nad 0,5 % fosfor
67123	Legovane surove zelezo, zrcadlovina
6713	Granuly, a prášek ze železa apod., železo nad 99,94%
67131	Granuly z suroveho zeleza, zrcadloviny, zeleza, oceli
67132	Prasek ze suroveho zeleza, zrcadloviny, zeleza, oceli
67133	Zelezne vyrobky z prime redukce, zelezo nad 99,94 %
6714	Feromangan
67141	Feromangan, nad 2 % uhliku
67149	Feromangan jiny
6715	Ostatní feroslitiny (ne radioaktivní feroslitiny)
67151	Ferosilicium
67152	Ferosilikomangan
67153	Ferochrom
67154	Ferosilichrom
67155	Feronikl
67159	Feroslitiny, j.n.
672	Ocel, železo v ingotech aj. odlitcích, polotovary
6724	Ingoty, ostatní primární odlitky ze železa, oceli
67241	Ingoty ze zeleza, nelegovane oceli
67245	Ostatni primarni odlitky ze zeleza, nelegovane oceli
67247	Ingoty, ostatni primarni odlitky z nerezavejici oceli
67249	Ingoty, ostat. primarni odlitky z jine legovane oceli
6726	Polotovary ze železa, oceli, s méně než 0,25 % uhlíku
67261	Polotovary z zeleza, oceli, pravouhleho prurezu
67262	Polotovary z zeleza, oceli, ost., pravouhleho prurezu
67269	Polotovary z zeleza, oceli, ostatni
6727	Polotovary ze železa, neleg. oceli, nad 0,25 % uhlíku
6728	Polotovary z legované oceli
67281	Polotovary z nerezavejici oceli
67282	Polotovary z jine legovane oceli
673	Ploché válc.výr.ze železa,neleg.oceli,ne plátované ap.
6732	Ploché válc.výr.ze železa,neleg.oceli,ne plátované ap.,po válc.za tepla dále nezprac.
67321	Ploché válc.výr.ze železa,neleg.oceli,pouze válc.za tepla,šíře nad 600mm,ve svitcích
67324	Ploché válc.výr.ze železa,neleg.oceli,pouze válc.za tepla,šíře nad 600mm,ne ve svitcích
67327	Ploché válc.výr ze železa,neleg.oceli,pouze válc.za tepla,šíře do 600mm,tloušťka nad 4,75mm
67329	Ploché válc.výr.ze železa,neleg.oceli,pouze válc.za tepla,šíře nad 600mm,tloušťka do 4,75mm
6734	Ploché válc.výr.ze železa,neleg.oceli,ne plátované ap.,po válc.za studena dále nezprac.
67341	Ploché válc.výr.ze železa,neleg.oceli,pouze válc.za studena,šíře nad 600mm,ve svitcích
67346	Ploché válc.výr.ze železa,neleg.oceli,pouze válc.za studena,šíře nad 600mm,ne ve svitcích
67349	Ploché válc.výr.ze železa,neleg.oceli,pouze válc.za studena,šíře do 600mm
6735	Ploché válc.výr.ze železa,neleg.oceli j.n.,ne plátované ap.
67351	Ploché válc.výr.ze železa,neleg.oceli j.n.,nad 600mm,válc.za tepla,ne plátované ap.
67352	Ploché válc.výr.ze železa,neleg.oceli j.n.,nad 600mm,válc.za studena,ne plátované ap.
67353	Ploché válc.výr.ze železa,neleg.oceli j.n., šíře do 600mm,ne plátované ap.
674	Výr. ploché válcované ze železa, oceli plátované ap.
6741	Ploché válcované výrobky, pokovené zinkem
67411	Ploche v. elektrol. pokovene zinkem, sire nad 600 mm
67412	Ploche v., elektrol. pokovene zinkem, sire do 600 mm
67413	Ploche val. v. jinak pokovene zinkem, sire nad 600 mm
67414	Ploche valc. v. jinak pokovene zinkem, sire do 600 mm
6742	Ploché válcované výrobky, pokovené cínem
67421	Ploche valc. vyrobky pokovene zinkem, sire nad 600 mm
67422	Ploche valc. vyrobky pokovene zinkem, sire do 600 mm
6743	Ploché válcované výr. ze železa, oceli, lakované ap.
67431	Ploche valc. vyrobky lakovane ap., sire nad 600 mm
67432	Ploche valc. vyrobky, lakovane ap. sire do 600 mm
6744	Ploché válcované výrobky ze železa nebo neleg. oceli
67441	Ploche valcovane vyrobky, platovane, potazene olovem
67442	Ploche v. v. platovane ap. kyslicniky chromu, chromem
67443	Ploche valcovane vyrobky platovane, potazene hlinikem
67444	Ploche valcovane vyrobky pokovene, potazene, ostatni
6745	Ploché válcované výrobky ze železa nebo neleg. oceli
67451	Ploche val. v., pokovene ap. jinak nez elektrolyticky
67452	Ploche valcovane vyrobky, platovane
675	Výrobky ploché válcované z oceli legované
6751	Ploché válcované výrobky z křemíkové elektrooceli
67511	Ploche val. v. z kremik. elektrooceli sire nad 600 mm
67512	Ploche valc. v. z kremik. elektrooceli sire do 600 mm
6752	Ploché válcované výrobky z rychlořezné oceli, šíře do 600 mm
6753	Ploché, za tepla válcované výrobky z nerezavěj. oceli
67531	Ploche z nerez. sire nad 600 mm, tloustka nad 4,75 mm
67532	Ploche z nerez sire nad 600 mm, tloustka 3 az 4,75 mm
67533	Ploche v. z nerez., sire nad 600 mm, tloustka do 3 mm
67534	Ploche z nerez. sire nad 600 mm, tloustka nad 4,75 mm
67535	Ploche z nerez sire nad 600 mm, tloustka 3 az 4,75 mm
67536	Ploche v. z nerez., sire nad 600 mm, tloustka do 3 mm
67537	Ploche z nerez., sire do 600 mm, tloustka nad 4,75 mm
67538	Ploche z nerez., sire do 600 mm, tloustka do 4,75 mm
6754	Ploché, za tepla válcované výrobky z jiné neleg.oceli
67541	Ploche valc. v. z jine neleg. oceli, sire nad 600 mm
67542	Ploche valc. v. z jine neleg. oceli, sire nad 600 mm
67543	Ploche valc. v. z jine neleg. oceli, sire do 600 mm
6755	Ploché, za studena válcované výrobky z nerez. oceli
67551	Ploche z nerez. sire nad 600 mm, tloustka nad 4,75 mm
67552	Ploche z nerez sire nad 600 mm, tloustka 3 az 4,75 mm
67553	Ploche z nerez., sire nad 600 mm, tloustka 1 az 3 mm
67554	Ploche z nerez sire nad 600 mm, tloustka 0,50 az 1 mm
67555	Ploche z nerez., sire nad 600 mm, tloustka do 0,50 mm
67556	Ploche valc. vyrobky z nerez. oceli, sire do 600 mm
6756	Ploché, za studena válcované výrob.z jiné legov.oceli
67561	Ploche valc. vyr. z jine leg. oceli, sire nad 600 mm
67562	Ploche valc. vyr. z jine leg. oceli, sire do 600 mm
6757	Ploché válcované výrobky z legované oceli, j.n.
67571	Ploche valc. v. z nerez. oceli j.n., sire nad 600 mm
67572	Ploche valc. vyr. z nerez. oceli j.n., sire do 600 mm
67573	Ploche val. v. z jine leg. oceli j.n. sire nad 600 mm
67574	Ploche valc. v. z jine leg. oceli j.n. sire do 600 mm
676	Tyče, pruty, úhelníky, profily ap. železné, ocelové
6761	Tyče a pruty ze železa nebo oceli, válcované za tepla
67611	Tyce ap. z zeleza, nel. oceli s deformacemi, za tepla
67612	Tyce, pruty z automatove oceli, za tepla
67615	Tyce, pruty z nerezavejici oceli, za tepla
67617	Tyce, pruty z rychlorezne oceli, za tepla
67619	Tyce, pruty z jine legovane oceli, za tepla
6762	Tyče a pruty ze žel.nebo oceli,válc.a protah.za tepla
67621	Jine tyce ap. z zeleza, oceli s deformacemi, za tepla
67622	Jine tyce, pruty z automatove oceli, za tepla
67625	Jine tyce, pruty z nerezavejici oceli, za tepla
67629	Jine tyce, pruty z jine legovane oceli, za tepla
6763	Tyče a pruty ze železa, oceli, tvářené za studena
67631	Tyče a pruty tvářené za studena, z automatové oceli
67633	Tyče a pruty tvářené za studena, ze železa, nelegované oceli, ostatní
67634	Tyče a pruty tvářené za studena, z nerazavějící oceli
67639	Tyče a pruty tvářené za studena, z jiné legované oceli (ne rychlořezná, siliko-manganová)
6764	Ostatní tyče a pruty ze železa a oceli
67641	Ostatni tyce, pruty z rychlorezne oceli
67642	Ostatni tyce, pruty ze silikomanganove oceli
67643	Ost. tyce ap. z zeleza, nelegovane oceli, opracovane
67644	Ostatni tyce, pruty z jineho zeleza, nelegovane oceli
67645	Ostatni tyce, pruty z nerezavejici oceli
67646	Ostatni tyce, pruty z jine legovane oceli, opracovane
67647	Tyce, pruty z legovane oceli, j.n.
67648	Dute vrtne tyce, pruty z legovane, nelegovane oceli
6768	Úhelníky, tvarovky, profily (bez kolejnic),štětovnice
67681	Profily tvaru U, I, H, L, T, za tepla, vyse do 80 mm
67682	Profily tvaru U, I, H, L, T, za tepla, vyse nad 80 mm
67683	Ost. uhelniky a profily, valcovane za tepla
67684	Uhelniky, tvarovky, profily, tvarene za studena
67685	Ostatni uhelniky, tvarovky, profily z zeleza, oceli
67686	Stetovnice, svarovane uhelniky ap. ze zeleza, oceli
67687	Uhelniky, tvarovky, profily z nerezavejici oceli
67688	Uhelniky, tvarovky, profily z jine legovane oceli
677	Kolejnice, materiál konstrukční pro železnice
6770	Konstrukční materiál pro železniční, tramvaj. tratě
67701	Kolejnice (ne pridrzne, ozubnicove) z zeleza, oceli
67709	Ost. konstrukcni material pro zelezn., tramvaj. trate
678	Dráty železné nebo ocelové
6781	Dráty ze železa nebo nelegované oceli
67814	Dráty ze železa, nelegované oceli, neplátované, nepokovené
67815	Dráty ze železa, nelegované oceli, plátované či pokovené zinkem aj. obec. kovy
67819	Dráty ze železa, nelegované oceli, ostatní
6782	Dráty z nerezavějící nebo jiné legované oceli
67821	Dráty z nerezavějící oceli
67829	Dráty z jiné legované oceli
679	Roury, trubky, profily duté, fitinky železné, ocelové
6791	Roury, trubky a duté profily, bezešvé
67911	Roury, trubky, dute profily litinove
67912	Potrubi (ne litinove) pro ropovody, plynovody
67913	Paznice, cerpaci, vrtne trubky pro vrtani ropy, plynu
67914	Ost. roury ap. kruh. prurezu, z zeleza, neleg. oceli
67915	Ost. roury ap. kruhoveho prurezu z nerezavejici oceli
67916	Ost. roury ap. kruh. prurezu z jine legovane oceli
67917	Ostatni bezesve roury, trubky, dute profily
6793	Ost. roury a trubky, vnější průměr větší než 406,4 mm
67931	Potrubi na ropovody, plynovody, z zeleza, oceli
67932	Paznice pro vrtani ropy, plynu, z zeleza, oceli
67933	Ostatni, svarovane, z zeleza, oceli
67939	Ostatni roury, trubky, z zeleza, oceli
6794	Ost. roury, trubky a duté profily, železné či ocelové
67941	Potrubi pro ropovody, plynovody, z zeleza, oceli
67942	Paznice, trubky pro vrtani ropy, plynu z zeleza, ocel
67943	Ost. roury ap. svar. kruh. prurezu, z zeleza, oceli
67944	Ost. roury ap. svar. nekruh. prurezu, z zeleza, oceli
67949	Ostatni roury, trubky ap. z zeleza, oceli
6795	Rourové, trubkové fitinky ze železa nebo oceli
67951	Lite fitinky z netemperovane litiny
67952	Ostatni lite fitinky z zeleza, oceli
67953	Pribory z nerezavejici oceli
67954	Kolena, oblouky, presuvky se zavitem z nerez. oceli
67955	Stykove svarovane fitinky z zeleza, oceli
67956	Ost. rourove, trubkove fitinky z nerezavejici oceli
67959	Rourove, trubkove fitinky z zeleza, oceli, j.n.
68	Neželezné kovy
681	Stříbro, platina a ostatní kovy skupiny platiny
6811	Stříbro, neválcované, nezpracov.nebo polozpracované
68112	Zakladni kovy postribrene, nezpracovane, polozprac.
68113	Stribro (vc. pozlaceneho), nevalcovane
68114	Stribro, jako polotovar, prasek
6812	Platina aj. kovy skupiny platiny, neválcované apod.
68122	Zakladni kovy, zlato, stribro, pokovene platinou
68123	Platina a slitiny platiny, nevalcovane
68124	Ostatni kovy skupiny platiny, nevalcovane
68125	Platina aj. kovy skupiny platiny, slitiny
682	Měď
6821	Měď,rafinovaná a nerafinovaná, anody, slitiny mědi
68211	Nerafinovana med, medene anody
68212	Rafinovana med
68213	Predslitiny medi
68214	Slitiny medi (ne predslitiny)
6823	Měděné tyče, pruty, profily
68231	Tyce, pruty, profily z rafinovane medi
68232	Tyce, pruty, profily ze slitin medi
6824	Měděný drát
68241	Drat z rafinovane medi
68242	Drat ze slitin medi
6825	Měděné plechy tenké, tlusté, páskovina nad 0,15 mm
68251	Plechy, paskovina z rafinovane medi nad 0,15 mm
68252	Plechy, paskovina ze slitin medi nad 0,15 mm
6826	Měděná fólie o tloušťce do 0,15 mm
68261	Medena folie do 0,15 mm (bez podlozky)
68262	Medeny prasek, vlocky
6827	Měděné roury, trubky a fitinky
68271	Medene roury, trubky
68272	Medene fitinky pro roury, trubky
683	Nikl
6831	Nikl a slitiny niklu, netvářené
68311	Nikl, bez slitin
68312	Slitiny niklu
6832	Nikl vč. slitin, zpracované (bez galvanických anod)
68321	Niklove tyce, pruty, profily, drat
68322	Niklove roury, trubky, fitinky
68323	Niklovy prasek, vlocky
68324	Niklove plechy tenke, tluste, paskovina, folie
684	Hliník
6841	Hliník a slitiny hliníku, netvářené
68411	Hlinik, bez slitin
68412	Slitiny hliniku
6842	Hliník, slitiny hliníku, tvářené
68421	Hlinikove tyce, pruty, profily
68422	Hlinikovy drat
68423	Hlinikove plechy tenke, tluste, paskovina 0,20 mm
68424	Hlinikova folie do 0,20 mm (bez podlozky)
68425	Hlinikovy prasek, vlocky
68426	Hlinikove roury, trubky
68427	Fitinky pro hlinikove roury, trubky
685	Olovo
6851	Olovo, slitiny olova, netvářené
68511	Nerafinovane olovo, slitiny olova
68512	Rafinovane olovo
6852	Olověné plechy tenké i tlusté, páskovina, fólie; olověný prášek a vločky
686	Zinek
6861	Zinek, slitiny zinku, netvářené
68611	Zinek, bez slitin
68612	Slitiny zinku
6863	Zinek, slitiny zinku, zpracované
68631	Zinkove tyce, pruty, profily, drat
68632	Zinkovy plech tenky, tlusty, paskovina, folie
68633	Zinkovy prach (modry prasek), prasky, vlocky
687	Cín
6871	Cín a slitiny cínu, netvařené
68711	Cin, bez slitin
68712	Slitiny cinu
6872	Cínové tyče, pruty, profily a drát
689	Kovy neželezné zákl. ost. užívané v hutnictví, cermety
6891	Wolfram, molybden, tantal a hořčík, netvářené
68911	Wolfram, netvareny, wolframovy odpad, srot
68912	Molybden, netvareny, molybdenovy odpad, srot
68913	Tantal, netvareny, odpad, srot, prasek
68914	Horcikovy odpad, srot
68915	Horcik, netvareny
6898	Kobalt, kadmium, titan a zirkon, netvářené
68981	Kobalt, kobaltovy lech aj. meziprodukty, odpad, srot
68982	Kadmium, netvarene, kadmiovy odpad, srot, prasek
68983	Titan, netvareny, titanovy odpad, srot, prasek
68984	Zirkon, netvareny, zirkonovy odpad, srot, prasek
6899	Základní kovy, j.n., cermenty, výrobky, j.n.
68991	Berylium, netvarene, beryliovy odpad, srot, prasek
68992	Vizmut, vyrobky z nej (vc. odpadu, srotu)
68993	Antimon, vyrobky z nej (vc. odpadu, srotu)
68994	Mangan, vyrobky z nej, (vc. odpadu, srotu)
68995	Chrom, vyrobky z nej (vc. odpadu, srotu)
68998	Ostatni zakladni kovy, netvarene, odpad, srot, prasek
68999	Cermenty, vyrobky z nich (vc. odpadu, srotu)
69	Kovové výrobky, j.n.
691	Konstrukce vč. částí jn. ze železa, oceli, hliníku
6911	Konstrukce a části konstrukcí ze železa nebo oceli
69111	Mosty, mostni dily z zeleza, oceli
69112	Veze, prihradove sloupy z zeleza, oceli
69113	Dvere, okna, jejich ramy, prahy dveri z zeleza, oceli
69114	Podpery ap. zarizeni k leseni, bedneni z zeleza, ocel
69119	Ostatni konstrukce, plechy, tyce ap. z zeleza, oceli
6912	Hliníkové konstrukce, části, plechy, profily ap.
69121	Dvere, okna, jejich ramy, prahy dveri z hliniku
69129	Hlinikove konstrukce, casti j.n., plechy, profily ap.
692	Konstrukce kovové ke skladování a přepravě
6921	Nádrže, zásobní tanky, kádě a sudy o obsahu > 300 l
69211	Nadrze, zasobni tanky ap.  nad 300 l ze zeleza, oceli
69212	Nadrze, zasobni tanky, kade nad 300 l z hliniku
6924	Zásobní tanky, sudy, plechovky, krabice apod.,železné
69241	Zasobni tanky, sudy  ap. z zeleza, oceli  do 300 l
69242	Hlinikove sudy, plechovky, krabice ap. do 300 l
69243	Zelezne, ocelove nadoby na stlacene, zkapalnene plyny
69244	Hlinikove nadoby na stlacene, zkapalnene plyny
693	Výrobky drátěné (ne vodiče izol. elektr.), pletivo
6931	Kroucený drát, lana, kabely, pletené bandáže aj.
69311	Krouceny drat, lana, kabely aj. ze zeleza, oceli
69312	Krouceny drat, kabely, pletene bandaze ap. z medi
69313	Krouceny drat, kabely, pletene bandaze ap. z hliniku
6932	Drát ostnatý, plochý, dvojitý ap. železný, ocelový
6935	Tkaniny, pletivo, sítě a ploty ze železného, ocelového drátu; plechová mřížkovina ze železa, oceli
694	Hřebíky, šrouby, matice, svorníky, nýty ap. kovové
6941	Hřebíky, příchytky, napínáčky aj. ze železa, oceli
6942	Šrouby, svorníky, matice, nýty ap. ze železa, oceli
69421	Srouby, svorniky, nyty ap. zavitove z zeleza, oceli
69422	Srouby, svorniky, nyty ap. bez zavitu z zeleza, oceli
6943	Hřebíky, skoby, napínáčky aj. ze železa, oceli, mědi
69431	Hrebiky, prichytky, napinacky, skoby ap. vyrobky
69432	Podlozky ap. vyrobky z medi, bez zavitu
69433	Srouby, svorniky, matice ap. vyrobky z medi, zavitove
6944	Hřebíky, příchytky, skoby, nýty, šrouby ap. z hliníku
695	Nářadí a nástroje ruční i strojní
6951	Ruční nářadí a ost. pro  zemědělství, lesnictví ap.
6952	Ruční pily, pilníky, rašple,kleště vč.štípacích apod.
69521	Rucni pily
69522	Pilniky, rasple apod. naradi
69523	Kleste, nuzky na plech, trubkorezy, klistky ap.
6953	Kleště k utahovaní, ruční; zaměnitelné nástrčné klíče
6954	Ruční nářadí, j.n.; opalovací lampy, svěráky, svorky
69541	Vrtaci, zavitove, zavitorezne nastroje
69542	Kladiva, perliky
69543	Hobliky, dlata ap. rezne nastroje k obrabeni dreva
69544	Sroubovaky
69545	Domaci naradi, j.n.
69546	Ostatni rucni naradi, opalovaci lampy
69547	Sveraky, svorky apod.
69548	Kovadliny, prenosne vyhne, brusky
69549	Sady dvou a vice vyrobku rucniho naradi, sveraku ap.
6955	Listy pilové všech druhů
69551	Listy pasove pily
69552	Pilove kotouce s pracovni casti z oceli
69553	Pilove kotouce s pracovni casti z jineho materialu
69554	Listy retezove pily
69555	Listy primocarych pil, k obrabeni kovu
69559	Ostatni pilove listy
6956	Nože a řezné nástroje pro stroje a mechanická zaříz.
69561	Noze, rezne nastroje pro stroje, mechanicka zarizeni
69562	Kotouce, tyce, brity ze slinutych karbidu, cermentu
69563	Nastroje k vrtani hornin, pudy
69564	Vymenne nastroje do naradi, pro obrabeci stroje
6957	Nástroje v sadách pro prodej
696	Výrobky nožířské
6963	Břitvy a holicí čepelky
69631	Britvy neelektricke
69635	Cepelky do holicich strojku (vc. polotovaru)
69638	Dily, j.n., neelektrickych britev, ne z plastu
6964	Nůžky, i krejčovské a jejich čepele
6965	Ost. nožířské výrobky, soupravy, vč. pilníků na nehty
69651	Noze na papir, otevirace dopisu, orezavace tuzek ap.
69655	Soupravy, nastroje na manikuru, pedikuru
69659	Nozirske vyrobky, j.n.
6966	Lžíce, nože, lopatky ap. kuchyňské, stolni potřeby
69661	Soupravy vybranych vyrobku, pokovene drahym kovem
69662	Ostatni soupravy vybranych vyrobku
69663	Vyrobky mimo soupravy, pokovene drahym kovem
69669	Ostatni vyrobky (lzice, naberacky ap.), ne soupravy
6968	Nože s řeznou čepelí rovnou, zubovitou; čepele
697	Potřeby pro domácnost z kovů obecných jn.
6973	Domácí spotřebiče k vaření nebo topení, neelektrické
69731	Domaci spotrebice k vareni ap. neelektricke
69732	Domaci kaminka, krby ap. neelektricka topidla
69733	Zelezne, ocelove dily spotrebicu k vareni, kaminek aj
6974	Stolní, kuchyňské a ost. domácí potřeby, kovové
69741	Vyrobky pro domacnost, dily, j.n., z zeleza, oceli
69742	Vyrobky pro domacnost, dily, j.n., z medi
69743	Vyrobky pro domacnost, dily, j.n., z hliniku
69744	Zelezna, ocelova vlna, pomucky k cisteni nadobi
6975	Hygienické zboží ze železa, oceli, hliníku, mědi
69751	Hygienicke zbozi, dily, j.n., z zeleza, oceli
69752	Hygienicke zbozi, dily, j.n., z medi
69753	Hygienicke zbozi, dily, j.n., z hliniku
6978	Domácí spotřebiče, dekorační předměty, zrcadla
69781	Mechanicke pristroje, do 10 kg, k priprave potravin
69782	Sosky, ramecky, zrcadla ap. ze zakladnich kovu
699	Výrobky z kovů základních jn.
6991	Zámečnické výrobky, sejfy, pancéřové schránky
69911	Zamky, uzavrene konstrukce, klice ze zakladnich kovu
69912	Sejfy, schranky, pancerove, ap. ze zakladnich kovu
69913	Zavesy, ze zakladnich kovu
69914	Kolecka, ze zakladnich kovu
69915	Ost. prislusenstvi ap. pro motor. vozidla ze z. kovu
69916	Ostatni prislusenstvi ap. pro stavby ze zakl. kovu
69917	Ostatni prislusenstvi ap. pro nabytek ze zakl. kovu
69919	Ost. prislusenstvi, vesaky, konzole ap. ze zakl. kovu
6992	Řetězy (jiné než článkové), ze železa nebo oceli
69921	Lyzinove retezy z zeleza, oceli
69922	Ostatni retezy z zeleza, oceli
6993	Špendlíky a jehly ze železa nebo oceli; ozdoby oděvů
69931	Jehly sici, vysivaci, snerovaci; hacky, jehlice apod.
69932	Spendliky zaviraci a ostatni, z zeleza, oceli, j.n.
69933	Sponky, prezky, hacky, nyty ap. ze zakladnich kovu
6994	Pružiny a pružinové listy ze železa nebo oceli
6995	Různé výrobky ze základních kovů
69951	Ohebne hadice ze zakladnich kovu, pr. prislusenstvi
69952	Zvonky, gongy ap., neelektricke, ze zakladnich kovu
69953	Zatky, vicka, uzavery sudove ap. ze zakladnich kovu
69954	Plechove tabule, cislice ap. ze zakladnich kovu
69955	Drat, pruty, plechy, elektrody apod. ze zaklad. kovu
6996	Výrobky ze železa nebo oceli, j.n.
69961	Kotvy, lodni haky, casti, z zeleza, oceli
69962	Lite vyrobky z nekujne litiny, j.n.
69963	Lite vyrobky z jineho druhu zeleza, oceli, j.n.
69965	Vyrobky z zeleza, oceli, kovane, razene, j.n.
69967	Vyrobky z zelezneho, oceloveho dratu, j.n.
69969	Vyrobky z zeleza, oceli, j.n.
6997	Výrobky,j.n.z mědi,niklu, hliníku, olova, zinku, cínu
69971	Retezy z medi, dily
69973	Vyrobky z medi, j.n.
69975	Vyrobky z niklu, j.n.
69976	Vyrobky z olova, j.n.
